1,Soil Series,Name,"Erodibility 
Class","Runoff
 Class  
",PSCG,N leaching,Type,Substrata,Modifier,"Soil 
Acidity
Group
",,1,,,,,,,Formula,N,P,K,,,N (Below),P(Below),K(Below),N(Above),P(Above),K(Above),"Fertilizer
Rec.",,,,,,,,,,
52,Bajura-Ba(A),Bajura,Very Low,Low,Medium,High,C,C,g,AG 1,,,,,,,,,20-00-20,20,0,20,,Sweet Potato,54,23,89,54,,,Apply at rate of 4 oz per plant using a fertilizer formula 6-6-12 or a similar one  on soils with low soil test values.,,,,,,,,,,
53,Bajura-Ba(H),Bajura,Very Low,Low,Medium,High,C,C,g,AG 1,,,,,,,,,20-04-08,20,4,8,,Tannier- (HD),138,30,169,138,,,"Apply at rate of 2 oz per plant, 1 1/2 to 2 months post plant, using a fertilizer formula 10-5-15 or a similar one on soils with low soil test values.",,,,,,,,,,
54,Bajura-Ba(M),Bajura,Very Low,Low,Medium,High,C,C,g,AG 1,,,,,,,,,20-05-10,20,5,10,,Tannier- (LD),88,19,108,88,,,"Apply at rate of 2 oz per plant, 1 1/2 to 2 months post plant, using a fertilizer formula 10-5-15 or a similar one on soils with low soil test values.",,,,,,,,,,
55,Bajura-Ba(SJ),Bajura,Very Low,Low,Medium,High,C,C,g,AG 1,,,,,,,,,20-05-15,20,5,15,,Tomato,150,39,123,150,,,Micronutrient fertilization would be needed if you observe any deficiency symptoms or if soil pH is higher than 6.2. On non fertigated field apply 100 lb/acre of N at pre-planting and at flowering season. ,,,,,,,,,,
56,Bajura-Bc(H),Bajura,Very Low,Low,Medium,High,C,C,g,AG 1,,,,,,,,,20-05-20,20,5,20,,Watermelon,100,66,164,85,22,82,"Split in two applications, pre-planting and one month after transplanting. Micronutrient fertilization would be needed if you observe any deficiency symptoms or if soil pH is higher than 6.2. ",,,,,,,,,,
57,Bayamon-BcB(A),Bayamon,Medium,Low,Medium,Medium,C,C,ehi,AG 3,,,,,,,,,20-10-10,20,10,10,,Yam- (HD),218,94,290,218,,,Apply at rate of 4 oz per plant using a fertilizer formula 8-8-13 or a similar one on soils with low soil test values.,,,,,,,,,,
58,Bayamon-BcC(A),Bayamon,Medium,Medium,Medium,Medium,C,C,ehi,AG 3,,,,,,,,,20-10-15,20,10,15,,Yam- (LD),145,62,194,145,,,Apply at rate of 4 oz per plant using a fertilizer formula 8-8-13 or a similar one on soils with low soil test values.,,,,,,,,,,
59,Bayamon-BmB(SJ),Bayamon,Low,Low,High,Medium,C,C,ehi,AG 3,,,,,,,,,21-07-07,21,7,7,,,,,,,,,,,,,,,,,,,
60,Bayamon-BsB(A),Bayamon,Low,Low,Medium,Medium,C,C,ehi,AG 3,,,,,,,,,21-07-14,21,7,14,,,,,,,,,,,,,,,,,,,
61,Bayamon-BsC(A),Bayamon,Medium,Medium,Medium,Medium,C,C,ehi,AG 3,,,,,,,,,Ammonium Nitrate,20,0,0,,,,,,,,,,,,,,,,,,,
62,Bayamon-ByB(A),Bayamon,Low,Low,High,Medium,C,C,ehi,AG 3,,,,,,,,,Ammonium Nitrate Ammonia 37%,37,0,0,,,,,,,,,,,,,,,,,,,
63,Bayamon-ByC(A),Bayamon,Low,Medium,High,Medium,C,C,ehi,AG 3,,,,,,,,,Ammonium Nitrate Ammonia 41%,41,0,0,,,,,,,,,,,,,,,,,,,
64,Bejucos-BcB(M),Bejucos,Low,Low,High,Medium,L,L,ae,AG 2,,,,,,,,,Ammonium Polyphosphate 24%,8,24,,,,,,,,,,,,,,,,,,,,
65,Bejucos-BeB(M),Bejucos,Low,Very Low,Medium,Medium,L,L,ae,AG 2,,,,,,,,,Ammonium Polyphosphate 30%,9,30,,,,,,,,,,,,,,,,,,,,
66,Cabo Rojo-CaC(M),Cabo Rojo,Medium,Medium,Medium,Low,C,C,ae,AG 2,,,,,,,,,Ammonium Polyphosphate 34%,10,34,,,,,,,,,,,,,,,,,,,,
67,Cabo Rojo-CaC2(M),Cabo Rojo,Medium,Medium,Medium,Low,C,C,ae,AG 2,,,,,,,,,Ammonium Polyphosphate 37%,11,37,,,,,,,,,,,,,,,,,,,,
68,Caguabo-CaE(SJ),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Ammonium Sulfate,21,0,0,,,,,,,,,,,,,,,,,,,
69,Caguabo-CaF(A),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Aqua Ammonia 20%,20,0,0,,,,,,,,,,,,,,,,,,,
70,Caguabo-CaF(SJ),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Aqua Ammonia 24%,24,0,0,,,,,,,,,,,,,,,,,,,
71,Caguabo-CbD2(H),Caguabo,High,Medium,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Calcium Ammonium Nitrate 17% ,17,0,0,,,,,,,,,,,,,,,,,,,
72,Caguabo-CbF(A),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Diammonium Phosphate,18,46,,,,,,,,,,,,,,,,,,,,
73,Caguabo-CbF(SJ),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,N Solution ,30,0,0,,,,,,,,,,,,,,,,,,,
74,Caguabo-CbF2(H),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Phosphoric Acid 52% ,0,52,0,,,,,,,,,,,,,,,,,,,
75,Caguabo-CbF2(M),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Phosphoric Acid 68% ,0,68,0,,,,,,,,,,,,,,,,,,,
76,Caguabo-CbF2(P),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Phosphoric Acid 75% ,0,75,0,,,,,,,,,,,,,,,,,,,
77,Caguabo-CdF(P),Caguabo,Very High,High,Medium,Very Low,L,R,None,AG 2,,,,,,,,,Potassium Cloride,0,0,60,,,,,,,,,,,,,,,,,,,
78,Callabo-CoD(P),Callabo,High,Medium,Medium,Low,L,L,d,AG 2,,,,,,,,,Potassium Sulfate,0,0,50,,,,,,,,,,,,,,,,,,,
79,Callabo-CoE(P),Callabo,Very High,High,Medium,Low,L,L,d,AG 2,,,,,,,,,Triple Superphospate,0,45,0,,,,,,,,,,,,,,,,,,,
80,Callabo-CoF2(P),Callabo,Very High,High,Medium,Low,L,L,d,AG 2,,,,,,,,,Urea,46,,,,,,,,,,,,,,,,,,,,,
81,Camaguey-CcB(M),Camaguey,Medium,High,Low,Very Low,C,C,bgv,AG 2,,,,,,,,,Urea Ammonium Nitrate 28% ,28,,,,,,,,,,,,,,,,,,,,,
82,Candelero-CdB(H),Candelero,Medium,Very Low,Low,Low,L,L,gh,AG 2,,,,,,,,,Urea Ammonium Nitrate 32% ,32,0,0,,,,,,,,,,,,,,,,,,,
83,Candelero-CdC2(H),Candelero,High,Low,Low,Low,L,L,gh,AG 2,,,,,,,,,Urea Solution 20% ,20,0,0,,,,,,,,,,,,,,,,,,,
84,Candelero-Ce(SJ),Candelero,Medium,Low,Low,Low,L,L,gh,AG 2,,,,,,,,,Urea Solution 23% ,23,0,0,,,,,,,,,,,,,,,,,,,
85,Caracoles-CcD(A),Caracoles,High,Medium,Low,Very Low,L,R,d,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Caracoles-CcE(A),Caracoles,Very High,High,Low,Very Low,L,R,d,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Carrizales-CeC(A),Carrizales,Medium,Low,Very Low,High,L,R,d,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Cartagena-Ca(L),Cartagena,Very Low,Low,Medium,Very Low,C,C,dnv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Cartagena-Cc(L),Cartagena Varia,Very Low,Low,Medium,Very Low,C,C,dnv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Cartagena-Ce(H),Cartagena ,Very Low,Low,Medium,Very Low,C,C,dnv,AG 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Catalina-ClC(SJ),Catalina,Low,Low,Very High,Medium,C,C,eh,AG 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Catano-Cd(M),Catano,Very Low,Very Low,Very Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Catano-Ce(M),Catano,Very Low,Low,High,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Catano-Cf(A),Catano,Very Low,Very Low,Very Low,Medium,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Catano-Cf(H),Catano,Very Low,Very Low,Very Low,High,S,S,e,AG 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
